Cycle No,Shift,Start Time,End Time,Duration,Power in kWh,Unit Consumption Per Heat Cycle
2,Shift 1,2023-04-16 01:53:08,2023-04-16 04:51:18,178.16666666666666,3968.58,1469.844881494001
3,Shift 1,2023-04-16 04:51:18,2023-04-16 07:12:27,141.15,1841.58,682.0667964825968
4,Shift 1,2023-04-16 07:12:28,2023-04-16 10:06:18,173.83333333333334,2441.52,904.2668831406794
5,Shift 2,2023-04-16 10:06:19,2023-04-16 12:47:36,161.28333333333333,2066.25,765.2779400460722
6,Shift 2,2023-04-16 12:47:36,2023-04-16 14:29:36,102.0,1094.68,405.4370589673088
7,Shift 2,2023-04-16 14:29:37,2023-04-16 16:41:52,132.25,2256.41,835.7075971432835
8,Shift 3,2023-04-16 16:41:52,2023-04-16 19:26:49,164.95,2247.7,832.4816699592453
9,Shift 3,2023-04-16 19:26:49,2023-04-16 20:58:58,92.15,1881.29,696.7742096258986
10,Shift 3,2023-04-16 20:58:59,2023-04-16 23:42:05,163.1,1086.32,402.34076146345575
11,Shift 3,2023-04-16 23:42:05,2023-04-17 01:02:04,79.98333333333333,1590.16,588.9482416478215
1,Shift 1,2023-04-17 01:02:04,2023-04-17 03:11:42,129.63333333333333,1474.09,545.9593359932499
2,Shift 1,2023-04-17 03:11:42,2023-04-17 07:48:31,276.81666666666666,3228.79,1195.848478339047
3,Shift 1,2023-04-17 07:48:31,2023-04-17 09:59:07,130.6,1405.35,520.50006680487
4,Shift 2,2023-04-17 09:59:07,2023-04-17 13:02:33,183.4333333333333,2048.54,758.7186782286993
5,Shift 2,2023-04-17 13:02:33,2023-04-17 14:36:10,93.61666666666666,1900.01,703.7075456632344
6,Shift 2,2023-04-17 14:36:10,2023-04-17 17:14:56,158.76666666666668,1996.68,739.511263330396
7,Shift 3,2023-04-17 17:14:57,2023-04-17 20:29:04,194.11666666666667,1966.46,728.3186663726881
8,Shift 3,2023-04-17 20:29:04,2023-04-17 21:48:38,79.56666666666666,940.46,348.3185181725468
9,Shift 3,2023-04-17 21:48:38,2023-04-18 00:17:49,149.18333333333334,2141.88,793.289062081527
1,Shift 1,2023-04-18 00:17:49,2023-04-18 03:20:12,182.38333333333333,2149.55,796.1298039301578
2,Shift 1,2023-04-18 03:20:12,2023-04-18 05:41:27,141.25,1874.37,694.211245663379
3,Shift 1,2023-04-18 05:41:27,2023-04-18 07:47:27,126.0,2556.59,946.885418280436
4,Shift 2,2023-04-18 11:34:27,2023-04-18 11:52:28,18.016666666666666,135.42,50.155438925917394
5,Shift 2,2023-04-18 11:52:28,2023-04-18 14:44:46,172.3,1078.8,399.5555751920473
6,Shift 2,2023-04-18 14:44:47,2023-04-18 17:14:22,149.58333333333334,817.5,302.7777596709002
7,Shift 3,2023-04-18 17:14:22,2023-04-18 18:49:22,95.0,200.29,74.18137422196337
1,Shift 2,2023-04-19 14:47:43,2023-04-20 15:24:09,1476.4333333333334,22575.32,8361.23275432197
1,Shift 3,2023-04-20 16:24:05,2023-04-21 08:06:20,942.25,13102.84,4852.905460147629
1,Shift 3,2023-04-21 20:15:22,2023-04-24 11:03:39,3768.283333333333,38499.45,14259.0609804022
1,Shift 2,2023-04-24 11:05:25,2023-04-24 17:25:04,379.65,2552.7,945.4446769778058
1,Shift 2,2023-04-25 10:13:40,2023-04-25 11:14:09,60.48333333333333,443.87,164.39622422058952
2,Shift 2,2023-04-25 11:14:09,2023-04-25 14:21:09,187.0,2218.05,821.500184194982
3,Shift 2,2023-04-25 14:21:09,2023-04-25 16:25:45,124.6,2224.82,824.0075925802793
1,Shift 3,2023-04-26 16:28:47,2023-04-26 16:38:39,9.866666666666667,5.9,2.185049847084746
2,Shift 3,2023-04-26 16:38:39,2023-04-26 19:02:36,143.95,2287.02,847.0446386017693
3,Shift 3,2023-04-26 19:02:36,2023-04-27 03:43:50,521.2333333333333,4990.21,1848.2265105444008
1,Shift 1,2023-04-27 03:43:50,2023-04-27 04:14:40,30.83333333333333,194.56,72.0591511720737
2,Shift 1,2023-04-27 04:14:40,2023-04-27 06:54:08,159.46666666666667,1931.4,715.3334761232759
3,Shift 1,2023-04-27 06:54:08,2023-04-27 10:18:18,204.16666666666663,3828.29,1417.885601970611
4,Shift 2,2023-04-27 10:18:18,2023-04-27 11:40:55,82.61666666666666,1552.16,574.8741620848533
5,Shift 2,2023-04-27 11:40:55,2023-04-27 12:41:27,60.53333333333333,1050.49,389.070385917636
6,Shift 2,2023-04-27 12:41:27,2023-04-27 13:54:32,73.08333333333333,1841.78,682.1408705855598
7,Shift 2,2023-04-27 13:54:32,2023-04-27 15:14:13,79.68333333333334,1505.5,557.5926738635876
8,Shift 2,2023-04-27 15:14:14,2023-04-27 15:25:53,11.65,78.31,29.00357882483546
9,Shift 2,2023-04-27 15:46:07,2023-04-27 16:01:48,15.683333333333334,235.04,87.05174961178297
10,Shift 3,2023-04-27 16:01:48,2023-04-27 17:02:36,60.8,951.07,352.24814933473345
11,Shift 3,2023-04-27 17:19:09,2023-04-27 18:12:59,53.833333333333336,183.29,67.88507547010917
12,Shift 3,2023-04-27 18:12:59,2023-04-27 19:47:01,94.03333333333332,1853.52,686.4890204294874
13,Shift 3,2023-04-27 19:47:01,2023-04-28 00:36:58,289.95,3217.29,1191.5892174186752
1,Shift 1,2023-04-28 00:36:58,2023-04-28 06:42:34,365.6,2548.35,943.8335652383608
2,Shift 1,2023-04-28 06:42:34,2023-04-28 09:25:17,162.71666666666667,2409.84,892.5335452313418
3,Shift 2,2023-04-28 09:25:17,2023-04-28 11:30:12,124.91666666666669,1900.97,704.0631013574568
4,Shift 2,2023-04-28 11:30:12,2023-04-28 12:37:40,67.46666666666667,1559.15,577.4630519834099
5,Shift 2,2023-04-28 12:37:40,2023-04-28 15:21:07,163.45,2759.84,1022.1632254165752
6,Shift 2,2023-04-28 15:21:07,2023-04-28 16:15:43,54.6,916.04,339.2740702007656
7,Shift 3,2023-04-28 16:51:40,2023-04-28 17:58:30,66.83333333333333,288.92,107.00731295001262
8,Shift 3,2023-04-28 17:58:30,2023-04-28 18:35:54,37.4,1313.98,486.6593128662279
9,Shift 3,2023-04-28 20:20:02,2023-04-28 20:35:50,15.8,16.13,5.97394021364171
10,Shift 3,2023-04-28 20:35:50,2023-04-28 23:03:41,147.85,2378.8,881.0372444514857
11,Shift 3,2023-04-28 23:03:41,2023-04-29 00:53:19,109.63333333333334,2028.28,751.2149715985485
1,Shift 1,2023-04-29 00:53:19,2023-04-29 03:26:28,153.15,1965.72,728.0445921917251
2,Shift 1,2023-04-29 07:00:17,2023-04-29 10:04:27,184.16666666666663,2330.97,863.3224227278863
3,Shift 2,2023-04-29 10:04:28,2023-04-29 12:03:05,118.61666666666666,1626.35,602.3519505789745
4,Shift 2,2023-04-29 12:03:05,2023-04-29 17:46:14,343.15,3408.26,1262.3188746328867
5,Shift 3,2023-04-29 17:46:14,2023-04-29 19:34:54,108.66666666666669,1584.19,586.7371296743762
6,Shift 3,2023-04-29 19:34:54,2023-04-29 22:29:56,175.03333333333333,2118.16,784.5038734701163
7,Shift 3,2023-04-29 22:29:56,2023-04-30 00:06:35,96.65,1249.49,462.7741183658116
1,Shift 1,2023-04-30 00:06:35,2023-04-30 01:47:58,101.38333333333334,1846.75,683.9816120441901
2,Shift 1,2023-04-30 01:47:59,2023-04-30 03:39:51,111.86666666666666,1840.37,681.6186481596707
3,Shift 1,2023-04-30 03:39:52,2023-04-30 05:22:46,102.9,1670.33,618.6408458205361
4,Shift 1,2023-04-30 05:22:46,2023-04-30 07:02:05,99.31666666666666,1739.07,644.100115008916
1,Shift 1,2023-05-02 06:11:40,2023-05-02 09:20:29,188.81666666666663,1911.5,707.9631028784582
2,Shift 3,2023-05-02 16:54:56,2023-05-02 17:24:38,29.7,67.54,25.01468838027842
3,Shift 3,2023-05-02 20:37:59,2023-05-02 20:38:18,0.3166666666666666,11.19,4.144309870455845
4,Shift 3,2023-05-02 20:38:18,2023-05-02 22:09:46,91.46666666666668,1586.05,587.426018831932
5,Shift 3,2023-05-02 22:09:46,2023-05-02 22:58:59,49.21666666666667,1389.4,514.5926570935716
1,Shift 2,2023-05-03 10:26:11,2023-05-03 10:56:52,30.683333333333334,90.22,33.41469165628154
2,Shift 2,2023-05-03 10:56:52,2023-05-03 11:15:15,18.383333333333333,524.12,194.11845803448944
3,Shift 2,2023-05-03 11:37:24,2023-05-03 11:58:20,20.933333333333334,217.58,80.58508042311391
4,Shift 2,2023-05-03 11:58:20,2023-05-03 13:28:14,89.9,1274.35,471.9815293641113
5,Shift 2,2023-05-03 13:28:14,2023-05-03 14:40:12,71.96666666666667,1619.35,599.7593569752698
6,Shift 3,2023-05-03 16:11:04,2023-05-03 16:37:05,26.016666666666666,46.96,17.3924631853867
7,Shift 3,2023-05-03 16:37:05,2023-05-03 18:34:12,117.11666666666666,1959.35,725.6853320123537
8,Shift 3,2023-05-03 18:34:12,2023-05-03 21:09:34,155.36666666666667,2955.61,1094.6706611018983
9,Shift 3,2023-05-03 21:09:34,2023-05-03 22:01:45,52.18333333333333,1322.85,489.9444993326365
10,Shift 3,2023-05-03 22:35:23,2023-05-03 22:45:48,10.416666666666666,3.7,1.3702347144918507
11,Shift 3,2023-05-03 22:45:48,2023-05-04 00:35:15,109.45,1712.01,634.0778888780234
1,Shift 1,2023-05-04 00:35:15,2023-05-04 02:39:26,124.18333333333334,1951.34,722.7186641886859
2,Shift 1,2023-05-04 02:39:26,2023-05-04 05:52:41,193.25,2158.28,799.3631385244923
3,Shift 1,2023-05-04 05:52:41,2023-05-04 08:55:24,182.71666666666667,1822.35,674.9445714827052
4,Shift 2,2023-05-04 08:55:24,2023-05-04 11:41:55,166.51666666666668,2198.59,814.2927739766831
5,Shift 2,2023-05-04 11:41:55,2023-05-04 14:03:27,141.53333333333333,1811.94,671.0890144234817
6,Shift 2,2023-05-04 14:03:27,2023-05-04 16:02:53,119.43333333333334,1712.66,634.3186297126532
7,Shift 3,2023-05-04 16:02:53,2023-05-04 17:45:39,102.76666666666668,1687.43,624.9741816238719
8,Shift 3,2023-05-04 17:45:39,2023-05-04 19:23:04,97.41666666666669,1765.02,653.7112298683641
9,Shift 3,2023-05-04 19:23:04,2023-05-04 23:00:52,217.8,2057.92,762.1927536576636
10,Shift 3,2023-05-04 23:00:52,2023-05-04 23:10:56,10.066666666666666,207.3,76.77767153081619
1,Shift 2,2023-05-05 13:57:14,2023-05-05 13:57:36,0.3666666666666666,0.01,0.0035675148246757
2,Shift 3,2023-05-05 22:04:04,2023-05-06 00:19:59,135.91666666666666,1575.14,583.3852765153009
1,Shift 1,2023-05-06 00:19:59,2023-05-06 02:14:09,114.16666666666669,2050.3,759.3705303347738
2,Shift 1,2023-05-06 02:14:09,2023-05-06 04:05:23,111.23333333333332,1932.11,715.5964391887944
3,Shift 1,2023-05-06 04:05:23,2023-05-06 07:40:16,214.88333333333333,2438.14,903.0150308006048
4,Shift 1,2023-05-06 07:40:16,2023-05-06 09:27:48,107.53333333333332,1245.88,461.4370808073296
5,Shift 2,2023-05-06 09:27:49,2023-05-06 14:13:02,285.21666666666664,2781.74,1030.2743396910223
6,Shift 2,2023-05-06 14:13:02,2023-05-06 16:00:21,107.31666666666666,1362.12,504.4889494494197
7,Shift 3,2023-05-06 16:00:21,2023-05-06 20:21:44,261.3833333333333,2451.5,907.9631808785326
8,Shift 3,2023-05-06 20:21:44,2023-05-06 22:13:05,111.35,1957.95,725.1668132916128
9,Shift 3,2023-05-06 22:13:05,2023-05-07 00:07:12,114.11666666666666,1920.85,711.4260671919781
